Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
m1.large,local,PNG,Weighted Overlay,256x256,500,20,500,0,10.032,19848500,49.84,401.272,20.064,1932.18,0,0.3,397,102.8,396,102.8,397,102.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.large,local,Text,Weighted Overlay,256x256,500,20,500,209,9.952,53770,50.24,398.098,19.905,5.28,0,0.4,393,113.4,391,111.9,393,113.4,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.large,local,Text,Weighted Overlay,1408x1408,500,20,500,49,200.539,54443,2.49,8021.548,401.077,0.27,0,3.2,7922,962.4,7921,962.4,7922,962.2,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,61.203,18210500,8.17,2448.126,122.406,290.57,0,1,2420,274.8,2419,274.8,2420,274.7,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,54.138,17181500,9.24,2165.502,108.275,309.93,0,0.1,2136,328.3,2136,328.3,2136,328.2,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,62.083,18210500,8.05,2483.329,124.166,286.45,0,0.2,2452,293.8,2452,293.7,2452,293.7,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,54.106,17181500,9.24,2164.22,108.211,310.11,0,4.1,2137,336.8,2137,336.8,2138,336.8,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,9.851,19848500,50.75,394.054,19.703,1967.58,0,0.1,389,111.4,389,111.4,389,111.4,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.large,cache,Text,Weighted Overlay,256x256,500,20,500,313,9.889,53770,50.56,395.576,19.779,5.31,0,0.3,390,112.2,389,112.2,390,112.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.large,cache,Text,Weighted Overlay,1408x1408,500,20,500,46,199.33,54451,2.51,7973.207,398.66,0.27,0,0.1,7876,993.6,7874,991.8,7876,993.5,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.large,local,PNG,Weighted Overlay,256x256,500,20,500,0,10.148,19848500,49.27,405.918,20.296,1910.07,0,0.4,401,112.5,400,112.4,401,112.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.large,local,Text,Weighted Overlay,256x256,500,20,500,325,9.801,53784,51.01,392.052,19.603,5.36,0,0.1,386,105.2,385,104.4,386,105.2,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.large,local,Text,Weighted Overlay,1408x1408,500,20,500,40,199.969,54453,2.5,7998.769,399.938,0.27,0,0.1,7904,997.9,7904,997.9,7904,997.8,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,61.697,18210500,8.1,2467.866,123.393,288.24,0,0.2,2438,283.1,2437,284.5,2438,283,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,54.349,17181500,9.2,2173.955,108.698,308.72,0,0.8,2146,325.5,2145,325.4,2146,325.4,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,61.876,18210500,8.08,2475.047,123.752,287.41,0,0.1,2445,302.1,2444,302.3,2445,302,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,53.873,17181500,9.28,2154.904,107.745,311.45,0,0.2,2127,309.2,2126,309.2,2127,309.2,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,9.89,19848500,50.56,395.598,19.78,1959.9,0,0.1,390,105.4,389,105.4,390,105.3,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.large,cache,Text,Weighted Overlay,256x256,500,20,500,304,9.743,53764,51.32,389.709,19.485,5.39,0,0.1,382,105,382,105,382,105,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.large,cache,Text,Weighted Overlay,1408x1408,500,20,500,40,200.181,54454,2.5,8007.246,400.362,0.27,0,0.3,7914,993.4,7913,993.2,7914,993.2,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.large,local,PNG,Weighted Overlay,256x256,500,20,500,0,9.881,19848500,50.6,395.249,19.762,1961.63,0,0.8,390,107.3,390,107.3,390,107.4,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.large,local,Text,Weighted Overlay,256x256,500,20,500,314,10.001,53755,49.99,400.054,20.003,5.25,0,0.1,394,113.1,394,113.2,394,113.1,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.large,local,Text,Weighted Overlay,1408x1408,500,20,500,55,202.545,54440,2.47,8101.784,405.089,0.26,0,3.9,8002,968,8002,968.1,8003,968,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,61.851,18210500,8.08,2474.043,123.702,287.52,0,0.3,2443,294.1,2442,293.6,2443,293.9,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,53.69,17181500,9.31,2147.588,107.379,312.51,0,0.2,2121,321.7,2121,321.7,2121,321.7,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,62.25,18210500,8.03,2489.993,124.5,285.68,0,0.3,2462,303.7,2462,303.6,2462,303.7,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,53.952,17181500,9.27,2158.073,107.904,311,0,0.3,2128,327.9,2127,327.9,2128,327.8,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,9.802,19848500,51.01,392.079,19.604,1977.49,0,0.1,387,106.4,387,106.4,387,106.4,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.large,cache,Text,Weighted Overlay,256x256,500,20,500,293,9.623,53741,51.96,384.938,19.247,5.45,0,3.7,379,107.7,379,107.6,380,107.7,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.large,cache,Text,Weighted Overlay,1408x1408,500,20,500,49,198.973,54448,2.51,7958.924,397.946,0.27,0,0.2,7860,979.6,7860,979.7,7860,979.5,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.large,local,PNG,Weighted Overlay,256x256,500,20,500,0,9.87,19848500,50.66,394.808,19.74,1963.82,0,0.4,390,106.4,390,106.4,390,106.3,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.large,local,Text,Weighted Overlay,256x256,500,20,500,316,10.059,53778,49.71,402.343,20.117,5.22,0,0.1,398,107.3,397,107.7,398,107.3,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.large,local,Text,Weighted Overlay,1408x1408,500,20,500,52,201.638,54443,2.48,8065.51,403.275,0.26,0,0.1,7968,980,7967,979.9,7968,980,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,63.714,18210500,7.85,2548.541,127.427,279.12,0,0.1,2520,327.6,2520,327.5,2520,327.6,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,54.003,17181500,9.26,2160.117,108.006,310.7,0,0.2,2131,331.3,2131,331.3,2131,331.2,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,61.832,18210500,8.09,2473.27,123.664,287.61,0,0.2,2439,289.8,2438,288.7,2439,289.7,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,54.884,17181500,9.11,2195.34,109.767,305.72,0,0.2,2168,333.8,2167,333.3,2168,333.8,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,18.207,19848500,27.46,728.294,36.415,1064.59,0,2.2,718,126.4,717,126.1,719,126.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.medium,cache,Text,Weighted Overlay,256x256,500,20,500,454,18.285,53942,27.34,731.416,36.571,2.88,0,0.6,722,142.4,721,142.6,722,142.3,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,44,367.41,54450,1.36,14696.386,734.819,0.14,0,0.7,14514,1532.4,14513,1532.5,14514,1532.1,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,18.239,19848500,27.41,729.576,36.479,1062.72,0,0.8,720,130,719,129.8,720,129.9,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.medium,local,Text,Weighted Overlay,256x256,500,20,500,62,18.163,53931,27.53,726.502,36.325,2.9,0,2.4,716,144.3,715,144.1,716,144,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.medium,local,Text,Weighted Overlay,1408x1408,500,20,500,53,365.853,54443,1.37,14634.133,731.707,0.15,0,0.6,14461,1577.1,14459,1575.8,14461,1576.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,109.4,18210500,4.57,4376.007,218.8,162.56,0,0.7,4322,452.3,4321,451.7,4322,452,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,93.064,17181500,5.37,3722.571,186.129,180.29,0,0.7,3676,440.8,3676,440.2,3677,440.5,http://localhost:8000/hillshade/cache_rast1-small/5/true
