Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
lb-m1.medium (4),local,PNG,Hillshade,256x256,500,10,500,0,12.216,17784500,40.93,244.321,24.432,1421.71,39,8.1,203,30.9,127,29.9,242,31.6,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (4),block,PNG,Hillshade,256x256,500,10,500,0,12.737,17784500,39.26,254.734,25.473,1363.59,41,14,211,34.2,133,32.1,253,36.6,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (4),cache,PNG,Hillshade,256x256,500,10,500,0,12.454,17784500,40.15,249.08,24.908,1394.55,43,64,204,33.8,127,31.3,247,72.7,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (4),local,PNG,Hillshade,256x256,500,10,500,0,12.696,17784500,39.38,253.924,25.392,1367.94,40,11.6,212,32.1,135,31.2,253,33.8,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (4),block,PNG,Hillshade,256x256,500,10,500,0,12.607,17784500,39.66,252.143,25.214,1377.6,40,9.6,209,35.5,133,34.5,250,38,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (4),cache,PNG,Hillshade,256x256,500,10,500,0,12.13,17784500,41.22,242.607,24.261,1431.75,39,9.2,201,29.5,126,28.7,241,31.2,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (4),local,PNG,Hillshade,256x256,500,10,500,0,12.551,17784500,39.84,251.026,25.103,1383.73,39,8.8,209,33.5,132,31.6,248,34.3,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (4),block,PNG,Hillshade,256x256,500,10,500,0,12.539,17784500,39.87,250.788,25.079,1385.05,40,10.8,208,32.7,132,31,249,35.9,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (4),cache,PNG,Hillshade,256x256,500,10,500,0,9.629,17784500,51.93,192.577,19.258,1803.72,40,6.8,151,15.3,112,14.3,190,17.2,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (4),local,PNG,Hillshade,256x256,500,10,500,0,9.493,17784500,52.67,189.858,18.986,1829.54,39,6.8,149,13.4,110,12.3,188,14.7,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (4),block,PNG,Hillshade,256x256,500,10,500,0,9.686,17784500,51.62,193.729,19.373,1792.99,40,7.9,153,19.6,113,17.6,193,20.5,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (4),cache,PNG,Hillshade,256x256,500,10,500,0,9.731,17784500,51.38,194.614,19.461,1784.84,41,10.3,153,18.8,112,15.6,193,21.8,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (4),local,PNG,Hillshade,256x256,500,10,500,0,9.705,17784500,51.52,194.095,19.409,1789.61,40,8.9,152,19.6,113,17.9,192,21.1,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (4),block,PNG,Hillshade,256x256,500,10,500,0,9.708,17784500,51.5,194.164,19.416,1788.97,40,8.9,153,19.3,114,18.5,193,21.4,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (4),cache,PNG,Hillshade,256x256,500,10,500,0,9.805,17784500,50.99,196.098,19.61,1771.33,40,9.6,154,21.8,114,18.3,194,24.3,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (4),local,PNG,Hillshade,256x256,500,10,500,0,9.971,17784500,50.14,199.424,19.942,1741.78,40,11.4,157,37,115,24.6,197,38.3,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (4),block,PNG,Hillshade,256x256,500,10,500,0,9.853,17784500,50.75,197.06,19.706,1762.68,41,10.4,155,32,114,23.3,195,34.9,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
