From,Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
rackspace.4G,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,32.271,17181500,15.49,1290.826,64.541,519.94,41,10.4,1232,114.3,1186,113.2,1273,113.9,http://15.185.97.80:8000/hillshade/cache_rast1-small/5/true
localhost,hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,38.129,18210500,13.11,1525.165,76.258,466.41,79,6.4,1421,142.2,1247,136,1499,143.8,http://15.185.97.80:8000/hillshade-con/local_rast1-small/5/true
localhost,hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,34.34,17181500,14.56,1373.619,68.681,488.6,79,6.9,1274,152.7,1106,149.7,1353,153.9,http://15.185.97.80:8000/hillshade/local_rast1-small/5/true
rackspace.4G,hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,37.014,18210500,13.51,1480.574,74.029,480.45,41,9.8,1420,143.5,1373,144.3,1461,143.3,http://15.185.97.80:8000/hillshade-con/local_rast1-small/5/true
rackspace.4G,hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,32.203,17181500,15.53,1288.13,64.407,521.03,40,8.2,1231,122.4,1184,121.9,1271,122.1,http://15.185.97.80:8000/hillshade/local_rast1-small/5/true
localhost,hp.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,19.249,19848500,25.98,769.943,38.497,1007,107,164.7,645,333.6,182,156.8,752,369.4,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,hp.medium,cache,Text,Weighted Overlay,256x256,500,20,500,238,7.085,53675,70.57,283.412,14.171,7.4,78,6.1,202,47.9,202,47.9,280,49.6,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,hp.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,59,122.914,54434,4.07,4916.571,245.829,0.43,81,45.5,4782,547.3,4782,547.3,4863,547.5,http://15.185.97.80:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
rackspace.4G,hp.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,10.046,19848500,49.77,401.844,20.092,1929.43,58,78.4,338,159.2,264,157.3,396,172.7,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
rackspace.4G,hp.medium,cache,Text,Weighted Overlay,256x256,500,20,500,232,6.434,53673,77.71,257.378,12.869,8.15,40,9.5,214,43.3,214,43.3,254,42.6,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
